rebal_date,solver,converged,iterations,wall_clock_time_ms,initial_residual_norm,final_residual_norm,relative_residual,a_norm_error,two_norm_error,relative_solution_error,condition_number,min_eigenvalue,max_eigenvalue,max_conjugacy_loss,mean_conjugacy_loss
20230905,PCG_IChol,True,1,0.03287498839199543,0.003149055684510182,3.4626706883755798e-18,1.1663239344281994e-15,3.494577077131139e-16,3.3983163292851783e-14,2.1452550431895214e-15,226.3528250883106,4.8049566617164857e-05,0.010876155148064245,,
20231004,PCG_IChol,True,1,0.03254201146773994,0.0032025516493510158,5.6379693916275336e-18,2.0681025424829142e-15,2.436292367306834e-16,2.3815836587065728e-14,1.5857192644711948e-15,228.70841952917,4.742118914555048e-05,0.010845625221672681,,
20231102,PCG_IChol,True,1,0.03420800203457475,0.0035215467073114364,4.656527092109767e-18,1.9976854227145516e-15,2.9911122540294346e-16,3.3632703509424995e-14,2.253522875535106e-15,233.71174847535744,4.6709579817969424e-05,0.010916577569806902,,
20231204,PCG_IChol,True,1,0.033083982998505235,0.0034063093193451187,5.205917140253462e-18,2.393248010208547e-15,5.009982998527438e-16,6.334559988108957e-14,4.281690804398286e-15,244.1684020671227,4.431655414095431e-05,0.010820702209717944,,
20240104,PCG_IChol,True,1,0.03270898014307022,0.003341408069889849,4.798154782773702e-18,2.2257928607479598e-15,1.7483551491532588e-16,1.816158683506244e-14,1.2977253728192017e-15,244.03483836287944,4.380289238467149e-05,0.010689431762919909,,
20240205,PCG_IChol,True,1,0.03266701241955161,0.002637490589205981,5.764669025081872e-18,1.8407909680181052e-15,3.0575338007707375e-16,2.8441113413708956e-14,1.797765994911526e-15,236.79054811338423,4.308750883354856e-05,0.010202714833536249,,
20240306,PCG_IChol,True,1,0.03187500988133252,0.0029710665314175992,5.743663289982673e-18,1.3929510529573158e-15,2.1962539005343684e-16,1.927198554376939e-14,1.2428276180698788e-15,221.85873490903967,4.4160043739073396e-05,0.009797291437478681,,
20240405,PCG_IChol,True,1,0.03254198236390948,0.0027743779533177648,8.267456663844779e-18,2.1409417819700757e-15,2.358421731469852e-16,2.4766497797471888e-14,1.6173697354806718e-15,217.88534004040486,4.298446155131481e-05,0.009365684021561935,,
20240506,PCG_IChol,True,1,0.032167008612304926,0.0035103713412963783,6.056327035877578e-18,1.2422577372887263e-15,2.079818556497733e-16,1.9180524869670785e-14,1.3666061863172102e-15,211.76973285378736,4.2855320590965195e-05,0.009075459792912112,,
20240605,PCG_IChol,True,1,0.0323750136885792,0.00418331046734653,6.358547648365354e-18,1.1663248223350026e-15,1.9209436393505847e-16,1.9871751629419506e-14,1.3922414270866756e-15,192.6674764352297,4.35368144521316e-05,0.008388128172521034,,
20240708,PCG_IChol,True,1,0.03200001083314419,0.006267338344373106,4.111489200860651e-18,5.294253212542775e-16,2.0771004175854384e-16,2.4264748450721982e-14,1.9189899922661233e-15,182.1670166525521,4.2936072418151374e-05,0.007821536219192564,,
20240806,PCG_IChol,True,1,0.03541700425557792,0.003921694916693736,4.623775892663955e-18,9.399451813102442e-16,2.930057809641056e-16,3.715811197462834e-14,2.9012640274178624e-15,197.4005510175328,4.3288973190939324e-05,0.008545267160874627,,
20240905,PCG_IChol,True,1,0.03220798680558801,0.004659560981333975,3.420885780345287e-18,5.729037646752618e-16,1.9597926813488784e-16,1.9374902769314868e-14,1.3553455438282817e-15,203.52718513037323,4.252643859884502e-05,0.00865528634164258,,
20241004,PCG_IChol,True,1,0.03399999695830047,0.006010741667234015,2.7821988247004854e-18,3.691726110947029e-16,2.0184796944625348e-16,2.121568825270221e-14,1.4637284635450057e-15,202.94894875795268,4.256204556852012e-05,0.008637922405119236,,
20241104,PCG_IChol,True,1,0.033208983950316906,0.005752417581738698,3.179967005009443e-18,4.461884354795176e-16,3.538244112617331e-16,3.989332741796321e-14,2.3990640528978005e-15,209.839273944385,3.931085055821816e-05,0.00824896033927272,,
20241204,PCG_IChol,True,1,0.03270801971666515,0.004987294539175425,5.7755722727632674e-18,9.610071469293878e-16,2.4976559714021643e-16,2.6241227100386668e-14,1.6910007220302619e-15,191.17210733855572,3.932288908620125e-05,0.007517439573249386,,
